Slope -3.00
1,10.00,0.1111
2,10.00,0.1111
3,10.01,0.1111
4,10.01,0.1112
5,10.01,0.1112
6,10.02,0.1112
7,10.02,0.1112
8,10.02,0.1112
9,10.03,0.1113
10,10.03,0.1113
11,10.03,0.1113
12,10.04,0.1113
13,10.04,0.1113
14,10.05,0.1114
15,10.05,0.1114
16,10.06,0.1114
17,10.06,0.1115
18,10.07,0.1115
19,10.07,0.1115
20,10.08,0.1115
21,10.08,0.1116
22,10.09,0.1116
23,10.10,0.1117
24,10.11,0.1117
25,10.11,0.1117
26,10.12,0.1118
27,10.13,0.1118
28,10.14,0.1119
29,10.15,0.1119
30,10.16,0.1120
31,10.17,0.1120
32,10.18,0.1121
33,10.19,0.1122
34,10.20,0.1122
35,10.21,0.1123
36,10.22,0.1123
37,10.24,0.1124
38,10.25,0.1125
39,10.26,0.1126
40,10.28,0.1126
41,10.29,0.1127
42,10.31,0.1128
43,10.33,0.1129
44,10.34,0.1130
45,10.36,0.1131
46,10.38,0.1132
47,10.40,0.1133
48,10.42,0.1134
49,10.44,0.1135
50,10.46,0.1136
51,10.48,0.1137
52,10.50,0.1139
53,10.52,0.1140
54,10.55,0.1141
55,10.57,0.1142
56,10.60,0.1144
57,10.62,0.1145
58,10.65,0.1147
59,10.68,0.1148
60,10.70,0.1150
61,10.73,0.1151
62,10.76,0.1153
63,10.79,0.1154
64,10.83,0.1156
65,10.86,0.1158
66,10.89,0.1160
67,10.93,0.1161
68,10.96,0.1163
69,11.00,0.1165
70,11.03,0.1167
71,11.07,0.1169
72,11.11,0.1171
73,11.15,0.1173
74,11.19,0.1175
75,11.23,0.1178
76,11.28,0.1180
77,11.32,0.1182
78,11.37,0.1185
79,11.41,0.1187
80,11.46,0.1189
81,11.51,0.1192
82,11.56,0.1194
83,11.61,0.1197
84,11.66,0.1200
85,11.71,0.1203
86,11.77,0.1205
87,11.82,0.1208
88,11.88,0.1211
89,11.94,0.1214
90,12.00,0.1217
91,12.06,0.1220
92,12.12,0.1223
93,12.18,0.1226
94,12.24,0.1230
95,12.31,0.1233
